invoice_id,vendor_name,vendor_type,matter_id,matter_name,department,practice_area,invoice_date,amount,currency,expense_category,description,billing_period_start,billing_period_end,status,budget_code
INV-2024-001,Smith & Associates,Law Firm,MATT-2024-001,ABC Corp Acquisition,Legal,Corporate,2024-01-15,25000.00,USD,Legal Services,Due diligence and contract review,2024-01-01,2024-01-31,approved,CORP-M&A-2024
INV-2024-002,Jones Legal Partners,Law Firm,MATT-2024-002,Patent Litigation Case,Legal,Intellectual Property,2024-01-20,45000.00,USD,Legal Services,Patent infringement defense - Phase 1,2024-01-01,2024-01-31,approved,IP-LIT-2024
INV-2024-003,Expert Consulting LLC,Consultant,MATT-2024-002,Patent Litigation Case,Legal,Intellectual Property,2024-01-25,15000.00,USD,Expert Witness Fees,Technical expert analysis and report,2024-01-15,2024-01-25,approved,IP-LIT-2024
INV-2024-004,Regional Law Group,Law Firm,MATT-2024-003,Employment Class Action,HR,Employment,2024-02-01,35000.00,USD,Legal Services,Class action defense preparation,2024-01-15,2024-01-31,approved,HR-EMP-2024
INV-2024-005,Smith & Associates,Law Firm,MATT-2024-001,ABC Corp Acquisition,Legal,Corporate,2024-02-15,30000.00,USD,Legal Services,Closing documentation and filing,2024-02-01,2024-02-15,approved,CORP-M&A-2024
INV-2024-006,Compliance Advisors Inc,Consultant,MATT-2024-004,GDPR Compliance Review,Compliance,Regulatory,2024-02-20,20000.00,USD,Consulting Services,Privacy compliance assessment,2024-02-01,2024-02-28,approved,COMP-REG-2024
INV-2024-007,Brown Law Firm,Law Firm,MATT-2024-005,Real Estate Transaction,Legal,Real Estate,2024-02-28,18000.00,USD,Legal Services,Commercial property purchase,2024-02-15,2024-02-28,approved,RE-TRANS-2024
INV-2024-008,Court Reporting Services,Court Reporter,MATT-2024-002,Patent Litigation Case,Legal,Intellectual Property,2024-03-05,5000.00,USD,Court Costs,Deposition transcripts,2024-03-01,2024-03-05,approved,IP-LIT-2024
INV-2024-009,Jones Legal Partners,Law Firm,MATT-2024-002,Patent Litigation Case,Legal,Intellectual Property,2024-03-15,55000.00,USD,Legal Services,Patent infringement defense - Phase 2,2024-03-01,2024-03-15,approved,IP-LIT-2024
INV-2024-010,Tax Advisory Group,Law Firm,MATT-2024-006,Tax Restructuring,Finance,Tax,2024-03-20,40000.00,USD,Legal Services,International tax planning,2024-03-01,2024-03-31,approved,FIN-TAX-2024
INV-2024-011,Smith & Associates,Law Firm,MATT-2024-007,Contract Dispute,Legal,Litigation,2024-03-25,22000.00,USD,Legal Services,Commercial contract dispute,2024-03-15,2024-03-31,approved,LIT-COM-2024
INV-2024-012,Regional Law Group,Law Firm,MATT-2024-003,Employment Class Action,HR,Employment,2024-04-01,42000.00,USD,Legal Services,Settlement negotiations,2024-03-15,2024-03-31,approved,HR-EMP-2024
INV-2024-013,Expert Witness Network,Expert Witness,MATT-2024-003,Employment Class Action,HR,Employment,2024-04-10,25000.00,USD,Expert Witness Fees,Economic impact analysis,2024-04-01,2024-04-10,approved,HR-EMP-2024
INV-2024-014,Compliance Advisors Inc,Consultant,MATT-2024-004,GDPR Compliance Review,Compliance,Regulatory,2024-04-15,15000.00,USD,Consulting Services,Implementation support,2024-04-01,2024-04-15,approved,COMP-REG-2024
INV-2024-015,Jones Legal Partners,Law Firm,MATT-2024-002,Patent Litigation Case,Legal,Intellectual Property,2024-04-20,65000.00,USD,Legal Services,Trial preparation,2024-04-01,2024-04-20,approved,IP-LIT-2024
